Ministry,Scheme,Actuals_2024_2025,Budget_Estimates_2025_2026,Revised_Estimates_2025_2026,Budget_Estimates_2026_2027
Department of Agriculture and Farmers Welfare,Rashtriya Krishi Vikas Yojna,7227.63,8500.0,7000.0,8550.0
Department of Agriculture and Farmers Welfare,National Mission on Natural Farming,10.35,616.01,725.0,750.0
Department of Agriculture and Farmers Welfare,Krishionnati Yojana,5513.92,8000.0,6800.0,11200.0
Ministry of Ayush,National AYUSH Mission,1081.85,1275.0,780.96,1300.0
Department of Food and Public Distribution,Assistance to States Agencies for Intra-State Movement of Foodgrains and FPS Dealers Margin under NFSA,6945.24,7075.0,6000.0,6500.0
Department of Food and Public Distribution,Scheme for Modernization and Reforms through Technology in Public Distribution System (SMART-PDS),40.86,76.0,60.0,77.0
Ministry of Cooperation,Computerization of Primary Agricultural Credit Societies,130.53,560.0,150.0,364.0
Ministry of Cooperation,Centrally Sponsored Project for Strengthening of Cooperatives through IT Interventions,21.16,25.0,25.0,26.0
Department of School Education and Literacy,Samagra Shiksha,36288.22,41250.0,38000.02,42100.02
Department of School Education and Literacy,Pradhan Mantri Poshan Shakti Nirman (PM POSHAN),9903.01,12500.0,10600.0,12750.0
Department of School Education and Literacy,Strengthening Teaching-Learning and Results for States (STARS),843.44,1250.0,500.0,500.0
Department of School Education and Literacy,PM Schools for Rising India (PM SHRI),3504.3,7500.0,4500.0,7500.0
Department of School Education and Literacy,New India Literacy Programme (NILP),130.39,160.0,130.0,160.0
Department of Higher Education,Pradhan Mantri Uchchatar Shiksha Abhiyan (PM-USHA),300.84,1815.0,800.0,1850.0
"Ministry of Environment, Forests and Climate Change",National Mission for a Green India,136.09,220.0,95.7,212.5
"Ministry of Environment, Forests and Climate Change",Conservation of Natural Resources and Ecosystems,24.69,50.0,30.48,34.06
"Ministry of Environment, Forests and Climate Change",Integrated Development of Wildlife Habitats,444.75,450.0,265.57,404.78
Transfers to States,Assistance to States for Public Health Infrastructure,0.0,0.0,699.0,4200.0
Department of Fisheries,Pradhan Mantri Matsya Sampada Yojana (PMMSY),878.55,2465.0,1500.0,2500.0
Department of Animal Husbandry and Dairying,Development Programmes,449.69,1050.0,909.0,1043.15
Ministry of Food Processing Industries,Prime Minister Formalization of Micro Food Processing Enterprises Scheme (PM FME),1023.1,2000.0,1500.0,1700.0
Department of Health and Family Welfare,"Flexible Pool for RCH & Health System Strengthening, National Health Programme and National Urban Health Mission",31685.03,30009.92,29867.26,31820.0
Department of Health and Family Welfare,Infrastructure Maintenance,6997.59,7000.0,7000.0,7350.0
Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY),7178.64,9406.0,9000.0,9500.0
Department of Health and Family Welfare,Strengthening of State Drug Regulatory System,48.32,50.0,0.0,0.0
Department of Health and Family Welfare,Tertiary Care Programme,287.72,483.54,295.0,490.0
Department of Health and Family Welfare,Human Resources for Health and Medical Education,442.0,1675.0,1630.0,1725.0
Department of Health and Family Welfare,Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM),2086.34,4200.0,2442.5,4200.0
Department of Health and Family Welfare,Strengthening National Programme Management of the NRHM,206.72,217.0,232.81,220.0
Police,Modernisation of Police Forces,2860.24,4069.24,3279.53,4061.34
Police,Border Area Development Program,86.41,98.19,20.0,0.06
Police,Scheme for Safety of Women ( Safe City projects),78.61,215.34,133.35,125.0
Police,Vibrant Villages Programme,205.83,1056.4,445.83,350.0
Ministry of Housing and Urban Affairs,PMAY-Urban,5815.43,19794.0,7500.0,18625.05
