                                                                                                                                    Expenditure Profile  2026-2027                                                                                                                            ,,,,,,,,,,,,,,1,
STATEMENT 4A,,,,,,,,,,,,,,,
CENTRALLY SPONSORED SCHEMES,,,,,,,,,,,,,,,
(In ₹ Crores),,,,,,,,,,,,,,,
,,,Actuals 2024-2025,,,Budget Estimates 2025-2026,,,Revised Estimates 2025-2026,,,Budget Estimates 2026-2027,,,
MINISTRY/DEPARTMENT,,,Revenue,Capital,Total,Revenue,Capital,Total,Revenue,Capital,Total,Revenue,Capital,,Total
DemandNo. 1,,,12751.9,...,12751.9,17116.01,...,17116.01,14525,...,14525,20500,...,,20500
Department of Agriculture and Farmers Welfare,,,,,,,,,,,,,,,
    ,1,Rashtriya Krishi Vikas Yojna,7227.63,...,7227.63,8500,...,8500,7000,... ,7000,8550,...,,8550
    ,2,National Mission on Natural Farming,10.35,...,10.35,616.01,...,616.01,725,... ,725,750,...,,750
    ,3,Krishionnati Yojana,5513.92,...,5513.92,8000,...,8000,6800,... ,6800,11200,...,,11200
DemandNo. 4,,,1081.85,...,1081.85,1275,...,1275,780.96,...,780.96,1300,...,,1300
Ministry of Ayush,,,,,,,,,,,,,,,
    ,4,National AYUSH Mission,1081.85,...,1081.85,1275,...,1275,780.96,... ,780.96,1300,...,,1300
DemandNo. 15,,,6959.6,26.5,6986.1,7142,9,7151,6051,9,6060,6568,9,,6577
Department of Food and Public Distribution,,,,,,,,,,,,,,,
    ,5,Assistance to States Agencies for Intra-State Movement of Foodgrains and FPS Dealers Margin under NFSA,6945.24,...,6945.24,7075,...,7075,6000,... ,6000,6500,...,,6500
    ,6,Scheme for Modernization and Reforms through Technology in Public Distribution System (SMART-PDS),14.36,26.5,40.86,67,9,76,51,9,60,68,9,,77
DemandNo. 16,,,151.69,...,151.69,585,...,585,175,...,175,390,...,,390
Ministry of Cooperation,,,,,,,,,,,,,,,
    ,7,Computerization of Primary Agricultural Credit Societies,130.53,...,130.53,560,...,560,150,... ,150,364,...,,364
    ,8,Centrally Sponsored Project for Strengthening of Cooperatives through IT Interventions,21.16,...,21.16,25,...,25,25,... ,25,26,...,,26
DemandNo. 25,,,50669.36,...,50669.36,62660,...,62660,53730.02,...,53730.02,63010.02,...,,63010.02
Department of School Education and Literacy,,,,,,,,,,,,,,,
    ,9,Samagra Shiksha,36288.22,...,36288.22,41250,...,41250,38000.02,... ,38000.02,42100.02,...,,42100.02
    ,10,Pradhan Mantri Poshan Shakti Nirman (PM POSHAN),9903.01,...,9903.01,12500,...,12500,10600,... ,10600,12750,...,,12750
    ,11,Strengthening Teaching-Learning and Results for States (STARS),843.44,...,843.44,1250,...,1250,500,... ,500,500,...,,500
    ,12,PM Schools for Rising India (PM SHRI),3504.3,...,3504.3,7500,...,7500,4500,... ,4500,7500,...,,7500
    ,13,New India Literacy Programme (NILP),130.39,...,130.39,160,...,160,130,... ,130,160,...,,160
DemandNo. 26,,,300.84,...,300.84,1815,...,1815,800,...,800,1850,...,,1850
Department of Higher Education,,,,,,,,,,,,,,,
    ,14,Pradhan Mantri Uchchatar Shiksha Abhiyan (PM-USHA),300.84,...,300.84,1815,...,1815,800,... ,800,1850,...,,1850
DemandNo. 28,,,605.53,...,605.53,720,...,720,391.75,...,391.75,651.34,...,,651.34
"Ministry of Environment, Forests and Climate Change",,,,,,,,,,,,,,,
    ,15,National Mission for a Green India,136.09,...,136.09,220,...,220,95.7,... ,95.7,212.5,...,,212.5
    ,16,Conservation of Natural Resources and Ecosystems,24.69,...,24.69,50,...,50,30.48,... ,30.48,34.06,...,,34.06
    ,17,Integrated Development of Wildlife Habitats,444.75,...,444.75,450,...,450,265.57,... ,265.57,404.78,...,,404.78
DemandNo. 42,,,...,...,...,...,...,...,699,...,699,4200,...,,4200
Transfers to States,,,,,,,,,,,,,,,
    ,18,Assistance to States for Public Health Infrastructure,...,...,...,...,...,...,699,... ,699,4200,...,,4200
DemandNo. 43,,,877.99,0.56,878.55,2461,4,2465,1499.88,0.12,1500,2498,2,,2500
Department of Fisheries,,,,,,,,,,,,,,,
    ,19,Pradhan Mantri Matsya Sampada Yojana (PMMSY),877.99,0.56,878.55,2461,4,2465,1499.88,0.12,1500,2498,2,,2500
DemandNo. 44,,,449.69,...,449.69,1050,...,1050,909,...,909,1043.15,...,,1043.15
Department of Animal Husbandry and Dairying,,,,,,,,,,,,,,,
    ,20,Development Programmes,449.69,...,449.69,1050,...,1050,909,... ,909,1043.15,...,,1043.15
DemandNo. 45,,,1023.03,0.07,1023.1,1999.5,0.5,2000,1499.8,0.2,1500,1699.5,0.5,,1700
Ministry of Food Processing Industries,,,,,,,,,,,,,,,
    ,21,Prime Minister Formalization of Micro Food Processing Enterprises Scheme (PM FME),1023.03,0.07,1023.1,1999.5,0.5,2000,1499.8,0.2,1500,1699.5,0.5,,1700
DemandNo. 46,,,48931.98,0.38,48932.36,53034.91,6.55,53041.46,50467.3,0.27,50467.57,55294.73,10.27,,55305
Department of Health and Family Welfare,,,,,,,,,,,,,,,
    ,22,"Flexible Pool for RCH & Health System Strengthening, National Health Programme and National Urban Health Mission",31684.65,0.38,31685.03,30009.37,0.55,30009.92,29866.99,0.27,29867.26,31819.73,0.27,,31820
    ,23,Infrastructure Maintenance,6997.59,...,6997.59,7000,...,7000,7000,... ,7000,7350,...,,7350
    ,24,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY),7178.64,...,7178.64,9405,1,9406,9000,... ,9000,9499,1,,9500
    ,25,Strengthening of State Drug Regulatory System,48.32,...,48.32,50,...,50,...,... ,...,...,...,,...
    ,26,Tertiary Care Programme,287.72,...,287.72,478.54,5,483.54,295,... ,295,481,9,,490
    ,27,Human Resources for Health and Medical Education,442,...,442,1675,...,1675,1630,... ,1630,1725,...,,1725
